,0.5/mis_W,0.5/mis_L,0.6/mis_W,0.6/mis_L,0.7/mis_W,0.7/mis_L,0.8/mis_W,0.8/mis_L,0.9/mis_W,0.9/mis_L,pred_W,pred_L,true_W,true_L,W_L_delta,abs_W_L_delta
Atlanta Hawks,6,6,5,4,1,1,5,3,1,0,42,40,38,44,-4,4
Boston Celtics,7,2,6,2,6,1,1,1,0,1,38,44,25,57,-13,13
Brooklyn Nets,6,4,4,3,6,2,3,4,2,2,50,32,44,38,-6,6
Charlotte Hornets,0,2,2,7,1,6,0,9,0,4,18,64,43,39,25,25
Chicago Bulls,5,5,4,3,4,3,4,1,1,0,54,28,48,34,-6,6
Cleveland Cavaliers,2,3,3,6,4,5,0,4,0,5,19,63,33,49,14,14
Dallas Mavericks,7,3,5,3,2,5,4,2,0,0,54,28,49,33,-5,5
Denver Nuggets,3,3,11,2,4,0,6,1,10,0,64,18,36,46,-28,28
Detroit Pistons,3,2,3,2,2,6,5,3,0,3,26,56,29,53,3,3
Golden State Warriors,5,0,5,4,2,3,3,4,2,0,57,25,51,31,-6,6
Houston Rockets,0,7,4,1,2,4,0,4,2,0,46,36,54,28,8,8
Indiana Pacers,3,0,4,2,1,6,3,1,2,0,60,22,56,26,-4,4
Los Angeles Clippers,2,2,5,5,5,1,1,0,1,0,63,19,57,25,-6,6
Los Angeles Lakers,7,1,7,1,11,3,6,1,5,0,57,25,27,55,-30,30
Memphis Grizzlies,2,3,6,4,5,3,3,0,3,0,59,23,50,32,-9,9
Miami Heat,0,4,5,1,6,0,3,0,6,0,69,13,54,28,-15,15
Milwaukee Bucks,8,3,3,3,7,1,2,1,0,0,27,55,15,67,-12,12
Minnesota Timberwolves,3,6,2,3,3,4,0,7,0,4,24,58,40,42,16,16
New Orleans Pelicans,1,3,2,5,5,5,0,4,0,4,21,61,34,48,13,13
New York Knicks,6,3,4,4,7,0,7,1,8,0,61,21,37,45,-24,24
Oklahoma City Thunder,1,2,5,4,3,5,4,1,1,0,61,21,59,23,-2,2
Orlando Magic,4,5,3,2,0,7,0,3,0,2,11,71,23,59,12,12
Philadelphia 76ers,6,1,5,4,6,2,4,1,0,3,29,53,19,63,-10,10
Phoenix Suns,1,6,2,8,1,15,0,6,0,6,11,71,48,34,37,37
Portland Trail Blazers,4,6,1,13,2,5,0,7,0,3,27,55,54,28,27,27
Sacramento Kings,3,5,2,2,4,6,1,1,0,3,21,61,28,54,7,7
San Antonio Spurs,0,4,3,9,2,0,7,0,1,0,62,20,62,20,0,0
Toronto Raptors,5,3,1,8,1,3,3,6,0,1,37,45,48,34,11,11
Utah Jazz,5,5,9,1,4,1,6,1,0,0,41,41,25,57,-16,16
Washington Wizards,2,8,2,7,6,10,0,4,0,4,21,61,44,38,23,23
