win,lose,probability
Indiana Pacers,Orlando Magic,0.9655464212520474
Los Angeles Lakers,Los Angeles Clippers,0.6398006184260402
Miami Heat,Chicago Bulls,0.8798763170879037
Brooklyn Nets,Cleveland Cavaliers,0.5830617797898308
Dallas Mavericks,Atlanta Hawks,0.7663983600314215
Detroit Pistons,Washington Wizards,0.7751900322720541
Golden State Warriors,Los Angeles Lakers,0.7120615878677373
Houston Rockets,Charlotte Hornets,0.9417930221393979
Minnesota Timberwolves,Orlando Magic,0.8462301013819654
Indiana Pacers,New Orleans Pelicans,0.5478937614030874
New York Knicks,Milwaukee Bucks,0.8953367804675784
Miami Heat,Philadelphia 76ers,0.7372430509682713
Portland Trail Blazers,Phoenix Suns,0.5123157127227826
Denver Nuggets,Sacramento Kings,0.6865804299652941
San Antonio Spurs,Memphis Grizzlies,0.8225808201929083
Toronto Raptors,Boston Celtics,0.636583835238352
Utah Jazz,Oklahoma City Thunder,0.5034985911537349
Chicago Bulls,New York Knicks,0.5447991251779126
Los Angeles Clippers,Golden State Warriors,0.7818044678193802
Atlanta Hawks,Toronto Raptors,0.7659352220011483
Boston Celtics,Milwaukee Bucks,0.643863085691642
Brooklyn Nets,Miami Heat,0.5189783352102733
Charlotte Hornets,Cleveland Cavaliers,0.7638696188144696
Denver Nuggets,Portland Trail Blazers,0.904531884823411
Houston Rockets,Dallas Mavericks,0.7603451934667366
Los Angeles Lakers,San Antonio Spurs,0.6062255473127572
Memphis Grizzlies,Detroit Pistons,0.9392533092949253
Oklahoma City Thunder,Minnesota Timberwolves,0.6447333872409899
Orlando Magic,New Orleans Pelicans,0.5710599119865549
Utah Jazz,Phoenix Suns,0.627965903648701
Los Angeles Clippers,Sacramento Kings,0.6696824555173837
Washington Wizards,Philadelphia 76ers,0.63573562731617
Dallas Mavericks,Memphis Grizzlies,0.6094943117740065
Golden State Warriors,Sacramento Kings,0.9126721267291927
Indiana Pacers,Cleveland Cavaliers,0.9600321153242634
Milwaukee Bucks,Toronto Raptors,0.629164304500777
New Orleans Pelicans,Charlotte Hornets,0.821619784981329
Chicago Bulls,Philadelphia 76ers,0.5639127619829161
San Antonio Spurs,Portland Trail Blazers,0.6666349150660481
Utah Jazz,Houston Rockets,0.6684433621390985
Detroit Pistons,Boston Celtics,0.5377994441892596
Los Angeles Lakers,Atlanta Hawks,0.8299317983230353
Miami Heat,Washington Wizards,0.9686156674646622
New York Knicks,Minnesota Timberwolves,0.9198989872793729
Oklahoma City Thunder,Phoenix Suns,0.922583474182505
Brooklyn Nets,Orlando Magic,0.7246299378320005
Cleveland Cavaliers,Minnesota Timberwolves,0.6287955900496468
Los Angeles Clippers,Houston Rockets,0.8206200972043781
Memphis Grizzlies,Boston Celtics,0.8117649910402408
Golden State Warriors,Philadelphia 76ers,0.5171500683293064
Brooklyn Nets,Utah Jazz,0.7918204727162618
Dallas Mavericks,Los Angeles Lakers,0.6577773602419605
Denver Nuggets,San Antonio Spurs,0.6954061246780243
Indiana Pacers,Detroit Pistons,0.5077571212260574
