win,lose,probability
Boston Celtics,Cleveland Cavaliers,0.5246908882870772
Golden State Warriors,Houston Rockets,0.7220677255955079
Boston Celtics,Milwaukee Bucks,0.7109711358481048
Atlanta Hawks,Dallas Mavericks,0.526683454081894
Detroit Pistons,Charlotte Hornets,0.5449181089289834
Indiana Pacers,Brooklyn Nets,0.8100960465400842
Memphis Grizzlies,New Orleans Pelicans,0.6565917008070745
Miami Heat,Orlando Magic,0.7055501813219641
Portland Trail Blazers,Phoenix Suns,0.7246820277617527
Houston Rockets,Sacramento Kings,0.7448887251039282
San Antonio Spurs,Minnesota Timberwolves,0.8557212621764831
Utah Jazz,Denver Nuggets,0.7030067931336156
Washington Wizards,Philadelphia 76ers,0.8460983133114071
Los Angeles Clippers,Los Angeles Lakers,0.7917244384095925
Oklahoma City Thunder,New York Knicks,0.7467611253606986
Toronto Raptors,Chicago Bulls,0.6682937444508262
Brooklyn Nets,Orlando Magic,0.5331822691856667
Charlotte Hornets,Atlanta Hawks,0.5408135683459825
Dallas Mavericks,Sacramento Kings,0.5897647347548434
Indiana Pacers,Portland Trail Blazers,0.544582351070837
Cleveland Cavaliers,Milwaukee Bucks,0.5168897611572909
Utah Jazz,Minnesota Timberwolves,0.6975353071651802
Golden State Warriors,New Orleans Pelicans,0.8434467306509321
Boston Celtics,Philadelphia 76ers,0.7846633090917081
Phoenix Suns,Los Angeles Lakers,0.5098292640835381
Washington Wizards,Detroit Pistons,0.7698369767257508
San Antonio Spurs,Chicago Bulls,0.7073765030205866
Cleveland Cavaliers,Orlando Magic,0.8063380662571196
Denver Nuggets,Sacramento Kings,0.7208260743926559
Houston Rockets,Dallas Mavericks,0.8199234608976556
Los Angeles Clippers,Phoenix Suns,0.8648078381255953
Golden State Warriors,Memphis Grizzlies,0.8022226999832229
Miami Heat,Indiana Pacers,0.6153238435259654
Milwaukee Bucks,Portland Trail Blazers,0.5724480072626069
Detroit Pistons,New York Knicks,0.5161248315497695
Toronto Raptors,Philadelphia 76ers,0.8502076070021043
Utah Jazz,Oklahoma City Thunder,0.6462658564089314
Atlanta Hawks,Brooklyn Nets,0.6533014169753713
New Orleans Pelicans,Los Angeles Lakers,0.5651029966751879
Oklahoma City Thunder,Minnesota Timberwolves,0.7357218778228058
Golden State Warriors,Dallas Mavericks,0.8693295119888893
Denver Nuggets,Washington Wizards,0.5182784078255127
Detroit Pistons,Philadelphia 76ers,0.6955919304617635
Houston Rockets,Memphis Grizzlies,0.7663268590941923
Miami Heat,Atlanta Hawks,0.6330292469484589
Milwaukee Bucks,Charlotte Hornets,0.663763532452792
Sacramento Kings,Phoenix Suns,0.5573552240216944
San Antonio Spurs,Toronto Raptors,0.6403780722902024
Boston Celtics,New York Knicks,0.806661429260166
