,0.5/mis_W,0.5/mis_L,0.6/mis_W,0.6/mis_L,0.7/mis_W,0.7/mis_L,0.8/mis_W,0.8/mis_L,0.9/mis_W,0.9/mis_L,pred_W,pred_L,true_W,true_L,W_L_delta,abs_W_L_delta
Atlanta Hawks,13,2,8,1,5,2,4,2,0,0,47,35,24,58,-23,23
Boston Celtics,6,10,4,3,6,2,2,0,0,0,57,24,54,27,-3,3
Brooklyn Nets,2,2,0,4,0,8,0,11,0,0,5,76,28,53,23,23
Charlotte Hornets,5,5,3,4,2,5,1,1,0,1,31,51,36,46,5,5
Chicago Bulls,13,7,5,2,5,0,1,0,0,0,42,39,27,54,-15,15
Cleveland Cavaliers,4,4,6,2,4,0,6,0,2,0,66,15,50,31,-16,16
Dallas Mavericks,6,8,8,3,4,4,0,1,0,0,26,56,24,58,-2,2
Denver Nuggets,7,4,3,4,1,4,2,1,0,1,45,36,46,35,1,1
Detroit Pistons,6,6,2,3,2,3,1,1,0,1,35,46,38,43,3,3
Golden State Warriors,1,0,3,0,5,0,6,0,9,0,82,0,58,24,-24,24
Houston Rockets,0,7,0,6,3,4,1,1,2,1,52,29,65,16,13,13
Indiana Pacers,9,8,2,3,3,7,0,3,0,1,40,42,48,34,8,8
Los Angeles Clippers,4,6,6,0,8,1,7,1,0,0,59,22,42,39,-17,17
Los Angeles Lakers,2,6,5,6,1,6,0,1,0,1,22,59,34,47,12,12
Memphis Grizzlies,11,3,8,1,5,1,2,2,0,0,41,40,22,59,-19,19
Miami Heat,8,6,5,3,10,0,3,0,0,0,60,21,43,38,-17,17
Milwaukee Bucks,4,4,10,3,3,5,1,0,0,1,49,32,44,37,-5,5
Minnesota Timberwolves,6,7,0,11,2,5,0,5,0,0,26,55,46,35,20,20
New Orleans Pelicans,3,10,6,7,1,5,0,3,0,1,31,50,47,34,16,16
New York Knicks,7,4,2,6,0,4,0,3,0,0,20,61,28,53,8,8
Oklahoma City Thunder,7,7,6,3,9,4,0,1,0,0,54,27,47,34,-7,7
Orlando Magic,1,8,1,3,0,5,0,3,0,1,6,75,24,57,18,18
Philadelphia 76ers,2,14,1,8,0,14,0,7,0,3,8,73,51,30,43,43
Phoenix Suns,1,4,1,7,0,6,0,4,0,0,2,80,21,61,19,19
Portland Trail Blazers,9,7,4,5,0,4,1,2,0,0,44,37,48,33,4,4
Sacramento Kings,9,5,4,8,0,2,0,0,0,2,22,59,26,55,4,4
San Antonio Spurs,8,0,5,2,6,0,5,0,1,0,70,11,47,34,-23,23
Toronto Raptors,5,5,3,2,2,2,0,0,0,0,60,21,59,22,-1,1
Utah Jazz,2,2,5,5,9,0,4,1,0,0,60,21,48,33,-12,12
Washington Wizards,5,5,6,7,8,1,7,0,0,0,56,25,43,38,-13,13
