,0.5/mis_W,0.5/mis_L,0.6/mis_W,0.6/mis_L,0.7/mis_W,0.7/mis_L,0.8/mis_W,0.8/mis_L,0.9/mis_W,0.9/mis_L,pred_W,pred_L,true_W,true_L,W_L_delta,abs_W_L_delta
Atlanta Hawks,11,1,9,3,3,3,2,0,0,0,42,40,24,58,-18,18
Boston Celtics,6,4,5,1,8,0,2,0,0,0,70,11,54,27,-16,16
Brooklyn Nets,3,3,0,3,0,11,0,8,0,0,6,75,28,53,22,22
Charlotte Hornets,3,5,4,7,4,1,0,1,0,0,33,49,36,46,3,3
Chicago Bulls,10,7,6,2,7,0,0,0,0,0,41,40,27,54,-14,14
Cleveland Cavaliers,7,8,7,0,5,0,2,0,0,0,63,18,50,31,-13,13
Dallas Mavericks,14,9,4,6,1,5,0,0,0,0,23,59,24,58,1,1
Denver Nuggets,6,8,5,6,3,1,0,1,0,0,44,37,46,35,2,2
Detroit Pistons,7,10,2,3,1,5,0,1,0,0,29,52,38,43,9,9
Golden State Warriors,0,0,5,0,8,0,9,0,2,0,82,0,58,24,-24,24
Houston Rockets,2,5,4,2,2,1,2,0,0,0,67,14,65,16,-2,2
Indiana Pacers,7,8,7,4,1,7,0,1,0,0,43,39,48,34,5,5
Los Angeles Clippers,9,4,10,0,8,1,3,0,0,0,67,14,42,39,-25,25
Los Angeles Lakers,2,9,0,8,0,10,0,4,0,0,5,76,34,47,29,29
Memphis Grizzlies,10,0,8,3,4,2,1,1,0,0,39,42,22,59,-17,17
Miami Heat,7,8,5,5,8,0,2,0,0,0,52,29,43,38,-9,9
Milwaukee Bucks,9,7,4,3,0,5,1,1,0,0,42,39,44,37,2,2
Minnesota Timberwolves,5,11,1,9,1,6,0,4,0,0,23,58,46,35,23,23
New Orleans Pelicans,1,10,6,10,1,6,0,2,0,0,27,54,47,34,20,20
New York Knicks,5,5,4,7,0,5,0,2,0,0,18,63,28,53,10,10
Oklahoma City Thunder,3,11,8,6,9,1,0,1,0,0,48,33,47,34,-1,1
Orlando Magic,1,6,1,6,0,6,0,3,0,0,5,76,24,57,19,19
Philadelphia 76ers,2,11,0,15,0,14,0,7,0,0,6,75,51,30,45,45
Phoenix Suns,5,7,0,6,0,6,0,2,0,0,5,77,21,61,16,16
Portland Trail Blazers,7,8,5,5,0,2,1,0,0,0,46,35,48,33,2,2
Sacramento Kings,9,4,2,8,0,2,0,0,0,2,21,60,26,55,5,5
San Antonio Spurs,8,0,10,1,6,0,7,0,0,0,77,4,47,34,-30,30
Toronto Raptors,7,3,4,1,4,0,0,0,0,0,70,11,59,22,-11,11
Utah Jazz,12,6,6,3,5,1,5,0,0,0,66,15,48,33,-18,18
Washington Wizards,9,9,4,3,12,0,2,0,0,0,58,23,43,38,-15,15
