win,lose,probability
Dallas Mavericks,Miami Heat,0.5520818755494379
Golden State Warriors,Los Angeles Clippers,0.6066866334426155
Chicago Bulls,Los Angeles Lakers,0.5057286741405747
Boston Celtics,New York Knicks,0.5656089597776228
Oklahoma City Thunder,Orlando Magic,0.6316417554638851
Milwaukee Bucks,Charlotte Hornets,0.5148669764135452
Cleveland Cavaliers,Toronto Raptors,0.5357349179297601
Dallas Mavericks,Denver Nuggets,0.6648845715588441
Chicago Bulls,Golden State Warriors,0.8054655881794881
Indiana Pacers,Detroit Pistons,0.6742522636697875
Oklahoma City Thunder,Minnesota Timberwolves,0.8915084438001666
Orlando Magic,Houston Rockets,0.7163019643825054
Phoenix Suns,New Orleans Pelicans,0.5102164179083598
Portland Trail Blazers,Philadelphia 76ers,0.7197690440272004
Los Angeles Lakers,Sacramento Kings,0.814074042467615
San Antonio Spurs,Memphis Grizzlies,0.7033483867322353
Washington Wizards,Brooklyn Nets,0.5915144418309192
Los Angeles Lakers,Utah Jazz,0.8527298136104693
Miami Heat,Boston Celtics,0.7195925437611841
Milwaukee Bucks,Minnesota Timberwolves,0.8241678393008341
Atlanta Hawks,Brooklyn Nets,0.7221861145052815
Portland Trail Blazers,Sacramento Kings,0.8468651803855022
Atlanta Hawks,Washington Wizards,0.7800643496048547
Miami Heat,Charlotte Hornets,0.803867957232447
Denver Nuggets,Utah Jazz,0.8040966895515135
Detroit Pistons,Cleveland Cavaliers,0.6700243817071122
New York Knicks,Golden State Warriors,0.5025151663835763
Memphis Grizzlies,Oklahoma City Thunder,0.5127936699947241
Boston Celtics,New Orleans Pelicans,0.5232718004031389
Phoenix Suns,Philadelphia 76ers,0.5548435694486021
San Antonio Spurs,Los Angeles Clippers,0.8453416607353064
Indiana Pacers,Toronto Raptors,0.6863979683458139
San Antonio Spurs,Houston Rockets,0.5343724550429895
Los Angeles Lakers,New York Knicks,0.8002463817374146
Oklahoma City Thunder,Dallas Mavericks,0.5892564464508336
Orlando Magic,Brooklyn Nets,0.9191520380547253
Portland Trail Blazers,Denver Nuggets,0.5744045367652201
Chicago Bulls,Sacramento Kings,0.8809244740688855
Atlanta Hawks,Brooklyn Nets,0.816228276254153
Boston Celtics,Detroit Pistons,0.8514240253946462
Orlando Magic,Charlotte Hornets,0.735785229588269
Dallas Mavericks,Toronto Raptors,0.9265744461501112
Indiana Pacers,Cleveland Cavaliers,0.768125564906376
Chicago Bulls,Los Angeles Clippers,0.8338213019981998
Memphis Grizzlies,Houston Rockets,0.6497480271072256
Milwaukee Bucks,Washington Wizards,0.7500359506631347
Miami Heat,Minnesota Timberwolves,0.9168055141337211
New Orleans Pelicans,Phoenix Suns,0.6668548662866167
Philadelphia 76ers,Utah Jazz,0.5125408200859493
Indiana Pacers,Detroit Pistons,0.5330955281078176
Golden State Warriors,Philadelphia 76ers,0.5168598022372859
Houston Rockets,Atlanta Hawks,0.6788212465911363
Los Angeles Lakers,Denver Nuggets,0.6946371435315077
Oklahoma City Thunder,Phoenix Suns,0.8015693469370072
New York Knicks,Sacramento Kings,0.6434714349643442
San Antonio Spurs,Utah Jazz,0.8352627898565641
Chicago Bulls,Memphis Grizzlies,0.8102936200073794
Cleveland Cavaliers,Brooklyn Nets,0.5453636101657946
Denver Nuggets,Los Angeles Lakers,0.5392987447210414
Portland Trail Blazers,Los Angeles Clippers,0.6772654613972222
Miami Heat,Charlotte Hornets,0.8951724340580987
Dallas Mavericks,Minnesota Timberwolves,0.8994942187177152
Orlando Magic,Toronto Raptors,0.9162236829001736
New Orleans Pelicans,Sacramento Kings,0.6664843446664018
Boston Celtics,Washington Wizards,0.8232451568028888
Boston Celtics,Washington Wizards,0.8938110104645903
Dallas Mavericks,Oklahoma City Thunder,0.6230601955671182
Denver Nuggets,Milwaukee Bucks,0.7946069705332159
Orlando Magic,Detroit Pistons,0.7560232080736069
Miami Heat,Atlanta Hawks,0.8407402802073466
San Antonio Spurs,Minnesota Timberwolves,0.8917061853110142
Indiana Pacers,Brooklyn Nets,0.6787275303899424
New York Knicks,Toronto Raptors,0.8328540540950214
Phoenix Suns,Golden State Warriors,0.6043436858657684
New Orleans Pelicans,Utah Jazz,0.5571400120329415
Chicago Bulls,Atlanta Hawks,0.8785932179272506
Charlotte Hornets,Cleveland Cavaliers,0.6282010207150761
Los Angeles Lakers,Houston Rockets,0.7696000113865826
Memphis Grizzlies,Sacramento Kings,0.8380981321817492
Oklahoma City Thunder,Portland Trail Blazers,0.6583085685632373
Utah Jazz,Milwaukee Bucks,0.54524179674476
Boston Celtics,Brooklyn Nets,0.913349215385294
Dallas Mavericks,Phoenix Suns,0.8103709336873488
Denver Nuggets,Sacramento Kings,0.8685491852532562
Chicago Bulls,Detroit Pistons,0.8683241579941624
Houston Rockets,Los Angeles Clippers,0.594834038671262
Miami Heat,Indiana Pacers,0.8665910250703828
