Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Ray Allen,0.387,35.0,3.6,0.4,4.2,0.224,2890.0,3.2,5.8,16.4,0.615,19.8,4.1,0.9041095890410958,0.7454545454545456,BOS
Paul Pierce,0.291,33.0,4.7,1.6,5.1,0.44,2774.0,3.1,6.5,19.7,0.62,24.0,4.7,1.0,0.9090909090909091,BOS
Rajon Rondo,0.064,24.0,2.0,1.7,4.8,0.197,2527.0,0.3,1.8,17.1,0.495,18.3,2.5,0.35616438356164387,0.8545454545454546,BOS
Glen Davis,0.019,25.0,-1.4,1.4,4.3,0.331,2298.0,-2.8,0.6,12.8,0.499,20.9,0.3,0.1917808219178082,0.7636363636363637,BOS
Kevin Garnett,0.006,34.0,4.0,4.1,5.6,0.264,2220.0,0.0,3.4,20.6,0.575,22.3,3.4,0.5753424657534247,1.0,BOS
Nate Robinson,0.532,26.0,-1.4,-0.8,1.5,0.111,983.0,-0.6,-0.3,10.2,0.512,21.7,0.2,0.0684931506849315,0.2545454545454545,BOS
Marquis Daniels,0.091,30.0,0.3,2.6,1.7,0.246,938.0,-2.3,0.3,11.7,0.527,15.1,0.6,0.15068493150684933,0.2909090909090909,BOS
Shaquille O'Neal,0.0,38.0,1.5,2.6,1.6,0.652,752.0,-1.1,1.1,17.4,0.659,20.1,0.7,0.26027397260273977,0.2727272727272727,BOS
Jeff Green,0.134,24.0,-1.6,0.5,1.0,0.312,612.0,-2.1,0.5,12.9,0.553,19.8,0.1,0.17808219178082194,0.16363636363636364,BOS
Von Wafer,0.421,25.0,-1.8,-0.1,0.9,0.239,553.0,-1.7,0.2,10.6,0.524,17.0,0.0,0.136986301369863,0.14545454545454548,BOS
Nenad Krstic,0.0,27.0,-1.8,-0.6,0.9,0.544,553.0,-1.2,1.0,14.3,0.598,17.8,0.0,0.24657534246575344,0.14545454545454548,BOS
Semih Erden,0.0,24.0,0.1,2.8,1.0,0.557,531.0,-2.7,0.4,10.8,0.621,13.8,0.3,0.16438356164383564,0.16363636363636364,BOS
Delonte West,0.275,27.0,-0.5,1.3,0.8,0.125,453.0,-1.8,0.1,12.3,0.533,16.6,0.2,0.12328767123287672,0.1272727272727273,BOS
Jermaine O'Neal,0.009,32.0,-3.0,2.4,0.8,0.394,431.0,-5.4,-0.2,9.2,0.504,17.2,-0.1,0.08219178082191782,0.1272727272727273,BOS
Kendrick Perkins,0.0,26.0,-2.8,1.9,0.6,0.678,313.0,-4.8,-0.1,10.2,0.568,15.6,-0.1,0.09589041095890412,0.09090909090909091,BOS
Luke Harangody,0.141,23.0,-3.0,1.0,0.4,0.113,241.0,-4.1,-0.1,8.7,0.423,15.8,-0.1,0.09589041095890412,0.05454545454545456,BOS
Carlos Arroyo,0.143,31.0,-3.8,1.3,0.3,0.343,190.0,-5.1,-0.2,6.7,0.447,14.5,-0.1,0.08219178082191782,0.03636363636363636,BOS
Troy Murphy,0.263,30.0,-1.1,1.6,0.4,0.342,178.0,-2.7,0.1,10.1,0.503,13.7,0.0,0.12328767123287672,0.05454545454545456,BOS
Avery Bradley,0.075,20.0,-9.7,0.0,0.3,0.179,162.0,-9.6,-0.8,2.2,0.36,26.1,-0.3,0.0,0.03636363636363636,BOS
Sasha Pavlovic,0.385,27.0,-3.2,0.7,0.2,0.192,149.0,-3.9,-0.1,5.1,0.55,11.0,0.0,0.09589041095890412,0.018181818181818184,BOS
Chris Johnson,0.0,25.0,-0.1,4.2,0.1,0.667,32.0,-4.4,0.0,9.9,0.773,8.8,0.0,0.10958904109589042,0.0,BOS
