Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Jordan Clarkson,0.291,23.0,-1.4,-2.0,0.4,0.186,2552.0,0.6,1.7,14.3,0.516,22.8,0.4,0.48148148148148145,0.2105263157894737,LAL
Julius Randle,0.043,21.0,-3.6,0.0,1.9,0.323,2286.0,-3.7,-0.3,13.9,0.482,21.2,-0.9,0.11111111111111112,1.0,LAL
D'Angelo Russell,0.387,19.0,-1.8,-1.7,0.7,0.199,2259.0,-0.2,-0.7,13.2,0.507,24.1,0.1,0.03703703703703705,0.3684210526315789,LAL
Lou Williams,0.462,29.0,0.3,-2.7,0.3,0.612,1907.0,3.0,4.5,17.7,0.584,22.8,1.1,1.0,0.15789473684210525,LAL
Roy Hibbert,0.005,29.0,-1.3,1.9,1.0,0.353,1878.0,-3.1,1.1,11.2,0.507,12.9,0.3,0.37037037037037035,0.5263157894736842,LAL
Kobe Bryant,0.42,37.0,-2.5,-3.3,0.5,0.252,1863.0,0.8,-0.9,14.9,0.469,32.2,-0.2,0.0,0.2631578947368421,LAL
Brandon Bass,0.006,30.0,0.8,0.7,0.7,0.467,1342.0,0.1,3.4,17.4,0.619,13.9,1.0,0.7962962962962962,0.3684210526315789,LAL
Larry Nance,0.033,23.0,-1.4,0.6,0.9,0.157,1266.0,-2.0,1.3,13.4,0.544,12.6,0.2,0.40740740740740744,0.4736842105263158,LAL
Nick Young,0.637,30.0,-4.8,-3.5,0.0,0.204,1033.0,-1.4,0.1,9.1,0.483,18.5,-0.7,0.18518518518518517,0.0,LAL
Marcelo Huertas,0.265,32.0,-6.0,-2.9,0.1,0.126,869.0,-3.1,-0.2,10.4,0.488,16.3,-0.9,0.12962962962962962,0.052631578947368425,LAL
Anthony Brown,0.556,23.0,-5.0,-1.1,0.1,0.159,599.0,-4.0,-0.4,4.9,0.427,11.0,-0.5,0.09259259259259259,0.052631578947368425,LAL
Metta World Peace,0.475,36.0,-3.8,-1.0,0.3,0.322,590.0,-2.8,-0.2,8.3,0.435,16.2,-0.3,0.12962962962962962,0.15789473684210525,LAL
Tarik Black,0.0,24.0,-3.4,0.6,0.4,0.433,496.0,-4.0,0.3,12.3,0.537,12.9,-0.2,0.2222222222222222,0.2105263157894737,LAL
Ryan Kelly,0.248,24.0,-6.0,-1.1,0.3,0.362,470.0,-4.9,-0.3,10.3,0.44,17.9,-0.5,0.11111111111111112,0.15789473684210525,LAL
Robert Sacre,0.0,26.0,-4.3,-0.8,0.1,0.507,320.0,-3.5,0.2,10.4,0.474,14.3,-0.2,0.20370370370370372,0.052631578947368425,LAL
