Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Russell Westbrook,0.196,26.0,11.0,2.2,3.2,0.445,2302.0,8.8,7.5,29.1,0.536,38.4,7.6,1.0,1.0,OKC
Serge Ibaka,0.261,25.0,0.8,1.3,2.7,0.14,2116.0,-0.5,2.9,16.6,0.549,18.9,1.5,0.4457831325301205,0.84375,OKC
Anthony Morrow,0.528,29.0,0.6,-1.8,1.2,0.145,1806.0,2.4,4.4,14.8,0.604,16.5,1.2,0.6265060240963856,0.37499999999999994,OKC
Steven Adams,0.005,21.0,0.4,1.8,2.2,0.514,1771.0,-1.4,1.9,14.1,0.549,14.3,1.1,0.3253012048192771,0.6875,OKC
Dion Waiters,0.265,23.0,-3.8,-1.7,1.0,0.185,1422.0,-2.2,-0.3,10.1,0.455,21.7,-0.7,0.06024096385542168,0.3125,OKC
Reggie Jackson,0.274,24.0,-0.4,-1.1,1.1,0.2,1398.0,0.7,1.8,15.6,0.511,22.1,0.6,0.3132530120481928,0.34375,OKC
Andre Roberson,0.423,23.0,0.3,2.1,1.6,0.239,1286.0,-1.8,0.5,9.1,0.513,9.0,0.7,0.1566265060240964,0.5,OKC
Nick Collison,0.237,34.0,0.1,1.2,1.2,0.257,1101.0,-1.1,1.0,11.2,0.485,12.8,0.6,0.21686746987951805,0.37499999999999994,OKC
Kendrick Perkins,0.005,30.0,-3.6,1.6,1.2,0.403,981.0,-5.2,-0.8,7.4,0.461,12.9,-0.4,0.0,0.37499999999999994,OKC
Kevin Durant,0.34,26.0,6.1,-0.2,1.0,0.366,913.0,6.3,3.8,27.6,0.633,29.1,1.9,0.5542168674698794,0.3125,OKC
Enes Kanter,0.012,22.0,1.2,-1.7,0.8,0.335,809.0,3.0,2.9,24.9,0.611,23.9,0.7,0.4457831325301205,0.25,OKC
D.J. Augustin,0.516,27.0,-2.8,-2.0,0.4,0.194,677.0,-0.9,0.5,10.2,0.503,15.1,-0.1,0.1566265060240964,0.125,OKC
Jeremy Lamb,0.444,22.0,-1.6,-1.6,0.7,0.22,633.0,0.0,1.0,14.9,0.538,20.5,0.1,0.21686746987951805,0.21874999999999997,OKC
Perry Jones,0.326,23.0,-5.4,-1.2,0.5,0.201,631.0,-4.2,-0.3,6.9,0.459,15.3,-0.5,0.06024096385542168,0.15625,OKC
Mitch McGary,0.012,22.0,-2.4,-0.1,0.7,0.242,485.0,-2.3,0.6,16.6,0.55,19.0,-0.1,0.1686746987951807,0.21874999999999997,OKC
Kyle Singler,0.563,26.0,-2.6,-0.1,0.4,0.167,456.0,-2.6,0.0,5.8,0.461,11.0,-0.1,0.09638554216867469,0.125,OKC
Lance Thomas,0.008,26.0,-5.5,-1.1,0.3,0.262,450.0,-4.5,-0.2,6.6,0.402,15.1,-0.4,0.07228915662650603,0.09374999999999999,OKC
Sebastian Telfair,0.48,29.0,-3.4,-2.9,0.2,0.272,327.0,-0.5,0.2,11.4,0.479,20.8,-0.1,0.12048192771084336,0.0625,OKC
Ish Smith,0.111,26.0,-5.7,-1.0,0.1,0.2,155.0,-4.6,-0.1,9.0,0.378,16.1,-0.1,0.08433734939759036,0.03125,OKC
Steve Novak,0.714,31.0,-7.3,-2.8,0.0,0.0,88.0,-4.5,-0.1,1.3,0.357,11.3,-0.1,0.08433734939759036,0.0,OKC
Grant Jerrett,0.765,21.0,-16.4,-4.1,0.0,0.0,25.0,-12.3,-0.2,-11.0,0.206,32.7,-0.1,0.07228915662650603,0.0,OKC
