Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Khris Middleton,0.316,24.0,0.6,-1.6,1.8,0.273,2852.0,2.2,4.3,16.8,0.56,23.0,1.9,0.8870967741935484,0.6206896551724138,MIL
Giannis Antetokounmpo,0.108,21.0,2.4,1.5,2.9,0.404,2823.0,1.0,4.2,18.8,0.566,22.3,3.2,0.8709677419354839,1.0,MIL
Jabari Parker,0.039,20.0,-2.4,-1.5,1.2,0.254,2408.0,-0.9,2.4,14.8,0.535,20.9,-0.2,0.5806451612903225,0.41379310344827586,MIL
Greg Monroe,0.001,25.0,1.5,0.2,2.4,0.327,2314.0,1.3,5.0,21.8,0.562,23.5,2.1,1.0,0.8275862068965517,MIL
Michael Carter-Williams,0.099,24.0,-0.8,0.9,1.6,0.292,1649.0,-1.6,-0.4,13.9,0.497,21.3,0.5,0.12903225806451613,0.5517241379310345,MIL
Jerryd Bayless,0.529,27.0,-1.0,-2.1,0.6,0.206,1505.0,1.1,1.8,12.4,0.568,16.4,0.4,0.48387096774193544,0.20689655172413793,MIL
O.J. Mayo,0.505,28.0,-3.5,-1.5,0.6,0.125,1090.0,-2.0,-0.7,7.7,0.474,17.0,-0.4,0.08064516129032258,0.20689655172413793,MIL
Rashad Vaughn,0.553,19.0,-6.1,-1.9,0.4,0.056,1001.0,-4.3,-1.2,4.2,0.398,13.5,-1.0,0.0,0.13793103448275862,MIL
John Henson,0.003,25.0,1.6,3.1,1.1,0.402,960.0,-1.5,1.2,18.6,0.58,19.1,0.9,0.3870967741935484,0.37931034482758624,MIL
Miles Plumlee,0.0,27.0,-1.8,-0.4,0.8,0.253,870.0,-1.4,1.4,17.4,0.606,15.5,0.0,0.4193548387096773,0.27586206896551724,MIL
Johnny O'Bryant,0.005,22.0,-6.0,-1.7,0.4,0.191,857.0,-4.3,-0.2,7.4,0.441,13.5,-0.9,0.16129032258064516,0.13793103448275862,MIL
Tyler Ennis,0.209,21.0,-4.8,-2.3,0.3,0.182,654.0,-2.4,0.1,10.7,0.51,17.1,-0.5,0.20967741935483872,0.10344827586206896,MIL
Greivis Vasquez,0.529,29.0,-6.9,-3.9,0.1,0.188,460.0,-3.0,-0.4,7.4,0.435,18.5,-0.6,0.12903225806451613,0.034482758620689655,MIL
Chris Copeland,0.706,31.0,-7.7,-5.2,0.0,0.137,156.0,-2.5,-0.1,5.4,0.462,17.3,-0.2,0.17741935483870966,0.0,MIL
Damien Inglis,0.351,20.0,-6.4,-0.3,0.2,0.216,156.0,-6.1,-0.2,6.7,0.444,14.9,-0.2,0.16129032258064516,0.06896551724137931,MIL
Jared Cunningham,0.5,24.0,-8.9,-3.2,0.0,0.5,55.0,-5.7,-0.1,5.8,0.468,16.4,-0.1,0.17741935483870966,0.0,MIL
Steve Novak,1.0,32.0,-7.8,-7.3,0.0,0.167,20.0,-0.5,0.0,6.7,0.543,14.5,0.0,0.1935483870967742,0.0,MIL
