Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
T.J. Warren,0.085,24.0,-1.9,-1.7,0.8,0.24,2142.0,-0.1,2.6,17.6,0.541,24.9,0.1,0.8846153846153845,0.5333333333333333,PHO
Dragan Bender,0.665,20.0,-2.7,0.0,0.8,0.105,2069.0,-2.7,-0.7,7.1,0.524,12.7,-0.4,0.25,0.5333333333333333,PHO
Josh Jackson,0.233,20.0,-4.3,-1.2,1.2,0.299,1959.0,-3.1,-2.0,11.8,0.48,26.0,-1.1,0.0,0.7999999999999999,PHO
Devin Booker,0.364,21.0,0.4,-2.4,0.6,0.312,1865.0,2.9,1.9,18.1,0.561,31.7,1.2,0.75,0.39999999999999997,PHO
Tyler Ulis,0.265,22.0,-5.2,-2.4,0.5,0.183,1658.0,-2.8,-0.7,10.1,0.465,18.5,-1.3,0.25,0.3333333333333333,PHO
Troy Daniels,0.797,26.0,-2.9,-3.6,0.0,0.111,1622.0,0.7,1.4,9.8,0.583,17.2,-0.4,0.6538461538461539,0.0,PHO
Marquese Chriss,0.398,20.0,-2.0,1.3,1.5,0.331,1527.0,-3.3,-0.8,11.1,0.509,18.1,0.0,0.23076923076923075,1.0,PHO
Alex Len,0.008,24.0,0.8,1.1,1.3,0.611,1395.0,-0.3,3.2,19.4,0.612,17.0,1.0,1.0,0.8666666666666667,PHO
Tyson Chandler,0.0,35.0,-0.3,1.0,0.8,0.503,1151.0,-1.3,1.9,14.2,0.657,10.6,0.5,0.75,0.5333333333333333,PHO
Jared Dudley,0.656,32.0,-1.9,0.0,0.4,0.287,686.0,-1.9,0.5,8.8,0.553,10.2,0.0,0.4807692307692307,0.26666666666666666,PHO
Mike James,0.311,27.0,-2.4,-1.7,0.3,0.269,669.0,-0.7,0.0,14.2,0.476,25.2,-0.1,0.3846153846153846,0.19999999999999998,PHO
Elfrid Payton,0.12,23.0,-2.1,-0.1,0.3,0.258,551.0,-2.0,-0.2,13.1,0.481,22.1,0.0,0.34615384615384615,0.19999999999999998,PHO
Greg Monroe,0.0,27.0,2.3,1.1,0.4,0.297,465.0,1.1,1.0,21.0,0.642,19.6,0.5,0.5769230769230769,0.26666666666666666,PHO
Isaiah Canaan,0.485,26.0,-2.2,-2.5,0.1,0.375,418.0,0.3,0.5,13.7,0.543,19.0,0.0,0.4807692307692307,0.06666666666666667,PHO
Danuel House,0.45,24.0,-2.7,-1.5,0.1,0.24,403.0,-1.2,0.4,12.4,0.533,16.2,-0.1,0.4615384615384615,0.06666666666666667,PHO
Shaquille Harrison,0.21,24.0,0.2,0.9,0.4,0.306,384.0,-0.7,0.4,15.6,0.54,18.0,0.2,0.4615384615384615,0.26666666666666666,PHO
Davon Reed,0.5,22.0,-6.7,-1.0,0.2,0.158,242.0,-5.8,-0.5,4.8,0.388,16.0,-0.3,0.28846153846153844,0.13333333333333333,PHO
Alec Peters,0.784,22.0,-3.3,-3.1,0.0,0.135,225.0,-0.2,0.2,10.7,0.523,15.5,-0.1,0.4230769230769231,0.0,PHO
Josh Gray,0.317,24.0,-5.5,0.4,0.1,0.268,86.0,-5.9,-0.3,7.2,0.349,26.1,-0.1,0.3269230769230769,0.06666666666666667,PHO
Eric Bledsoe,0.325,28.0,-4.9,-2.4,0.0,0.35,83.0,-2.5,-0.1,13.0,0.509,28.7,-0.1,0.36538461538461536,0.0,PHO
Alan Williams,0.0,25.0,-3.7,2.8,0.1,0.5,70.0,-6.5,-0.1,9.3,0.455,17.5,0.0,0.36538461538461536,0.06666666666666667,PHO
Derrick Jones,0.5,20.0,3.9,3.8,0.0,1.5,33.0,0.1,0.1,18.4,0.678,9.8,0.0,0.40384615384615385,0.0,PHO
