Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Al Horford,0.006,26.0,3.1,2.4,4.1,0.196,2756.0,0.7,4.7,19.8,0.56,21.8,3.5,1.0,0.911111111111111,ATL
Josh Smith,0.17,27.0,2.1,3.2,4.5,0.272,2683.0,-1.0,-0.3,17.7,0.501,26.7,2.8,0.0,1.0,ATL
Jeff Teague,0.255,24.0,-0.7,-1.5,2.6,0.232,2628.0,0.8,3.5,16.8,0.543,23.0,0.8,0.76,0.5777777777777778,ATL
Kyle Korver,0.689,31.0,2.7,0.5,2.5,0.13,2259.0,2.1,4.0,13.9,0.637,14.5,2.7,0.86,0.5555555555555556,ATL
Devin Harris,0.519,29.0,-0.1,-0.9,1.5,0.348,1421.0,0.9,1.8,14.6,0.565,19.5,0.7,0.42000000000000004,0.3333333333333333,ATL
DeShawn Stevenson,0.798,31.0,-1.5,-0.6,0.9,0.088,1158.0,-0.9,0.5,8.1,0.522,11.8,0.1,0.16,0.2,ATL
Zaza Pachulia,0.012,28.0,0.0,1.6,1.5,0.427,1134.0,-1.6,1.2,13.1,0.534,14.6,0.6,0.3,0.3333333333333333,ATL
Lou Williams,0.442,26.0,-0.5,-1.7,1.0,0.273,1119.0,1.2,1.4,15.9,0.555,23.6,0.4,0.33999999999999997,0.2222222222222222,ATL
Ivan Johnson,0.037,28.0,-2.1,0.6,1.7,0.368,1035.0,-2.7,0.6,15.7,0.546,21.7,0.0,0.18,0.37777777777777777,ATL
Anthony Tolliver,0.616,27.0,-3.3,-0.8,0.9,0.236,963.0,-2.5,0.3,8.4,0.531,13.2,-0.3,0.12,0.2,ATL
John Jenkins,0.469,21.0,-2.8,-2.3,0.6,0.238,902.0,-0.5,1.1,13.0,0.576,18.7,-0.2,0.28,0.13333333333333333,ATL
Dahntay Jones,0.146,32.0,-5.3,-0.7,0.3,0.378,381.0,-4.6,-0.2,5.4,0.46,13.6,-0.3,0.019999999999999997,0.06666666666666667,ATL
Mike Scott,0.007,24.0,-6.4,-3.2,0.4,0.381,376.0,-3.2,0.5,16.3,0.533,23.7,-0.4,0.16,0.08888888888888889,ATL
Johan Petro,0.036,27.0,-4.8,0.7,0.6,0.109,352.0,-5.4,-0.2,11.0,0.468,18.3,-0.2,0.019999999999999997,0.13333333333333333,ATL
Anthony Morrow,0.342,27.0,-3.0,-2.3,0.3,0.162,301.0,-0.7,0.4,12.3,0.526,18.9,-0.1,0.13999999999999999,0.06666666666666667,ATL
Shelvin Mack,0.417,22.0,-3.8,-2.4,0.2,0.167,268.0,-1.5,0.1,12.3,0.577,19.7,-0.1,0.08,0.044444444444444446,ATL
Jannero Pargo,0.526,33.0,-5.6,-3.5,0.1,0.053,113.0,-2.0,0.0,9.7,0.45,18.0,-0.1,0.06,0.022222222222222223,ATL
Jeremy Tyler,0.0,21.0,-16.4,-2.6,0.0,0.0,5.0,-13.8,0.0,8.5,0.0,0.0,0.0,0.06,0.0,ATL
