Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Antawn Jamison,0.256,35.0,-1.1,-1.8,1.0,0.26,2151.0,0.7,2.1,16.1,0.481,26.2,0.5,0.6666666666666667,0.8333333333333334,CLE
Alonzo Gee,0.249,24.0,-0.5,0.1,1.2,0.385,1827.0,-0.5,1.2,13.2,0.516,18.7,0.7,0.4358974358974359,1.0,CLE
Kyrie Irving,0.245,19.0,3.3,-1.7,0.6,0.262,1558.0,4.9,3.4,21.4,0.566,28.7,2.1,1.0,0.5,CLE
Tristan Thompson,0.005,20.0,-4.2,-1.0,0.9,0.434,1424.0,-3.2,0.3,13.3,0.469,19.2,-0.8,0.20512820512820515,0.75,CLE
Omri Casspi,0.408,23.0,-2.4,-1.1,0.6,0.262,1341.0,-1.2,0.6,11.2,0.499,17.6,-0.1,0.2820512820512821,0.5,CLE
Anthony Parker,0.423,36.0,-2.0,-1.1,0.4,0.172,1280.0,-0.8,1.0,10.9,0.523,14.1,0.0,0.38461538461538464,0.33333333333333337,CLE
Ramon Sessions,0.175,25.0,-1.8,-2.5,0.3,0.415,1006.0,0.7,1.5,16.4,0.514,22.4,0.1,0.5128205128205129,0.25,CLE
Daniel Gibson,0.56,25.0,-2.2,-0.8,0.3,0.173,916.0,-1.3,0.2,9.2,0.493,15.3,0.0,0.1794871794871795,0.25,CLE
Samardo Samuels,0.0,23.0,-5.4,-1.4,0.5,0.506,825.0,-4.1,0.2,11.1,0.517,18.4,-0.7,0.1794871794871795,0.4166666666666667,CLE
Anderson Varejao,0.018,29.0,2.1,1.7,0.9,0.288,785.0,0.4,1.2,18.9,0.542,16.9,0.8,0.4358974358974359,0.75,CLE
Donald Sloan,0.125,24.0,-6.0,-2.6,0.0,0.148,608.0,-3.4,-0.3,8.9,0.44,17.0,-0.6,0.05128205128205129,0.0,CLE
Manny Harris,0.24,22.0,-4.3,-1.5,0.2,0.393,456.0,-2.7,0.1,11.7,0.492,20.0,-0.3,0.15384615384615385,0.16666666666666669,CLE
Ryan Hollins,0.0,27.0,-5.4,-0.9,0.1,0.982,362.0,-4.4,0.0,7.0,0.555,12.9,-0.3,0.12820512820512822,0.08333333333333334,CLE
Semih Erden,0.0,25.0,-4.7,-0.9,0.2,0.554,333.0,-3.7,0.2,9.9,0.538,14.6,-0.2,0.1794871794871795,0.16666666666666669,CLE
Lester Hudson,0.404,27.0,-1.6,-1.8,0.2,0.252,314.0,0.2,0.0,14.7,0.492,28.3,0.0,0.12820512820512822,0.16666666666666669,CLE
Luke Walton,0.314,31.0,-7.8,-1.6,0.0,0.0,299.0,-6.2,-0.5,2.2,0.422,11.4,-0.4,0.0,0.0,CLE
Luke Harangody,0.323,24.0,-4.6,-1.9,0.1,0.185,231.0,-2.7,0.1,10.4,0.427,14.5,-0.2,0.15384615384615385,0.08333333333333334,CLE
Mychel Thompson,0.458,23.0,-8.3,-2.5,0.0,0.0,95.0,-5.9,-0.2,2.2,0.375,13.7,-0.2,0.07692307692307693,0.0,CLE
Christian Eyenga,0.105,22.0,-7.1,1.3,0.1,0.316,83.0,-8.5,-0.2,2.1,0.208,12.8,-0.1,0.07692307692307693,0.08333333333333334,CLE
D.J. Kennedy,0.333,22.0,-5.6,-1.1,0.0,0.167,59.0,-4.5,0.0,4.7,0.466,12.1,-0.1,0.12820512820512822,0.0,CLE
Ben Uzoh,0.0,23.0,4.5,1.6,0.0,0.0,13.0,2.8,0.0,21.0,0.4,17.3,0.0,0.12820512820512822,0.0,CLE
