Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Kevin Durant,0.265,23.0,5.2,0.5,3.7,0.386,2546.0,4.7,8.5,26.2,0.61,31.3,4.6,1.0,1.0,OKC
Russell Westbrook,0.155,23.0,3.2,-0.5,2.4,0.326,2331.0,3.7,5.5,22.9,0.538,32.7,3.0,0.6629213483146068,0.6486486486486486,OKC
James Harden,0.464,22.0,4.5,-1.1,1.8,0.587,1946.0,5.6,7.5,21.1,0.66,21.6,3.2,0.8876404494382023,0.48648648648648646,OKC
Serge Ibaka,0.006,22.0,3.0,3.8,3.2,0.241,1792.0,-0.9,3.0,19.0,0.556,15.7,2.2,0.38202247191011235,0.8648648648648649,OKC
Kendrick Perkins,0.0,27.0,-0.6,2.1,2.1,0.427,1744.0,-2.7,0.0,8.7,0.528,11.1,0.6,0.0449438202247191,0.5675675675675675,OKC
Nick Collison,0.005,31.0,2.2,1.3,1.2,0.308,1307.0,0.9,2.3,12.1,0.622,10.0,1.4,0.3033707865168539,0.3243243243243243,OKC
Daequan Cook,0.77,24.0,-2.6,-2.4,0.8,0.074,989.0,-0.2,0.8,9.2,0.509,14.7,-0.1,0.13483146067415733,0.21621621621621623,OKC
Thabo Sefolosha,0.458,27.0,0.9,1.3,1.0,0.277,914.0,-0.4,0.8,9.8,0.584,10.6,0.7,0.13483146067415733,0.27027027027027023,OKC
Nazr Mohammed,0.006,34.0,-2.2,0.9,1.0,0.136,692.0,-3.1,0.3,11.0,0.477,13.4,0.0,0.07865168539325842,0.27027027027027023,OKC
Reggie Jackson,0.39,21.0,-3.9,-1.3,0.5,0.182,501.0,-2.6,-0.4,9.2,0.408,18.7,-0.2,0.0,0.13513513513513511,OKC
Derek Fisher,0.324,37.0,-4.6,-1.5,0.2,0.13,407.0,-3.1,-0.2,5.9,0.429,14.3,-0.3,0.02247191011235955,0.05405405405405406,OKC
Royal Ivey,0.726,30.0,-3.1,-1.2,0.3,0.11,354.0,-1.9,-0.1,4.7,0.464,10.9,-0.1,0.03370786516853933,0.08108108108108107,OKC
Cole Aldrich,0.0,23.0,0.3,2.7,0.4,0.333,173.0,-2.4,0.3,17.7,0.592,14.9,0.1,0.07865168539325842,0.10810810810810811,OKC
Lazar Hayward,0.368,25.0,-8.0,-2.4,0.1,0.316,141.0,-5.6,-0.2,3.1,0.427,16.8,-0.2,0.02247191011235955,0.02702702702702703,OKC
Eric Maynor,0.436,24.0,-4.0,-2.2,0.1,0.103,137.0,-1.8,0.0,9.1,0.466,17.1,-0.1,0.0449438202247191,0.02702702702702703,OKC
Ryan Reid,0.0,25.0,-5.5,-6.0,0.0,0.0,17.0,0.5,0.0,17.6,0.8,16.0,0.0,0.0449438202247191,0.0,OKC
