Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Deron Williams,0.398,28.0,3.5,-2.0,1.8,0.328,2842.0,5.5,9.1,20.3,0.574,24.4,3.9,1.0,0.5142857142857143,BRK
Joe Johnson,0.375,31.0,0.3,-1.7,1.2,0.153,2642.0,1.9,3.9,14.1,0.521,21.7,1.5,0.4639175257731959,0.34285714285714286,BRK
Brook Lopez,0.001,24.0,1.4,0.0,2.6,0.358,2253.0,1.4,6.4,24.7,0.567,28.6,1.9,0.7216494845360826,0.7428571428571429,BRK
Gerald Wallace,0.356,30.0,1.9,2.6,2.5,0.415,2076.0,-0.7,0.6,11.6,0.49,14.5,2.0,0.12371134020618557,0.7142857142857143,BRK
Reggie Evans,0.0,32.0,-1.8,1.3,3.5,0.851,1967.0,-3.2,0.8,12.8,0.506,11.0,0.1,0.1443298969072165,1.0,BRK
Andray Blatche,0.033,26.0,2.3,1.6,2.5,0.32,1555.0,0.7,2.4,21.9,0.547,26.5,1.7,0.30927835051546393,0.7142857142857143,BRK
C.J. Watson,0.466,28.0,1.0,-0.5,1.3,0.198,1521.0,1.6,2.5,13.9,0.544,17.2,1.2,0.3195876288659794,0.37142857142857144,BRK
Keith Bogans,0.863,32.0,-1.3,-0.9,0.7,0.06,1408.0,-0.4,0.7,6.7,0.533,11.2,0.3,0.13402061855670103,0.19999999999999998,BRK
Kris Humphries,0.006,27.0,-2.7,-0.2,1.3,0.397,1191.0,-2.5,1.4,13.6,0.515,16.3,-0.2,0.2061855670103093,0.37142857142857144,BRK
MarShon Brooks,0.164,24.0,-2.2,-0.8,0.8,0.281,912.0,-1.4,0.5,13.5,0.523,22.5,0.0,0.11340206185567012,0.2285714285714286,BRK
Jerry Stackhouse,0.517,38.0,-4.1,-2.7,0.2,0.134,544.0,-1.4,0.2,8.5,0.5,17.5,-0.3,0.08247422680412372,0.05714285714285715,BRK
Mirza Teletovic,0.584,27.0,-1.1,-1.6,0.5,0.059,499.0,0.4,0.5,12.3,0.495,19.4,0.1,0.11340206185567012,0.14285714285714285,BRK
Tyshawn Taylor,0.149,22.0,-7.7,-1.4,0.2,0.31,221.0,-6.3,-0.6,6.2,0.43,25.8,-0.3,0.0,0.05714285714285715,BRK
Josh Childress,0.143,29.0,-3.5,0.3,0.1,0.095,100.0,-3.8,0.0,7.0,0.32,10.1,0.0,0.061855670103092786,0.028571428571428574,BRK
Tornike Shengelia,0.087,21.0,-6.4,-0.9,0.1,0.696,93.0,-5.5,-0.1,8.5,0.499,20.3,-0.1,0.051546391752577324,0.028571428571428574,BRK
Kris Joseph,0.333,24.0,-3.5,2.4,0.0,1.333,30.0,-5.9,-0.1,3.7,0.21,7.3,0.0,0.051546391752577324,0.0,BRK
Damion James,0.0,25.0,-5.2,0.3,0.0,0.0,0.0,-5.5,0.0,0.0,0.0,0.0,0.0,0.061855670103092786,0.0,BRK
