Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Richard Jefferson,0.241,29.0,0.3,0.6,3.0,0.37,2520.0,-0.3,3.0,13.1,0.551,18.3,1.5,0.4852941176470588,0.6590909090909091,SAS
Tim Duncan,0.01,33.0,5.6,3.2,4.5,0.346,2438.0,2.4,6.4,24.7,0.56,26.0,4.7,0.9852941176470589,1.0,SAS
George Hill,0.255,23.0,1.5,0.2,2.6,0.321,2276.0,1.3,4.1,14.7,0.572,19.0,2.0,0.6470588235294117,0.5681818181818181,SAS
Manu Ginobili,0.388,32.0,6.3,0.7,3.2,0.393,2150.0,5.6,6.5,22.5,0.584,25.8,4.5,1.0,0.7045454545454545,SAS
Tony Parker,0.047,27.0,-1.7,-1.6,1.6,0.344,1728.0,-0.1,2.0,16.4,0.542,25.8,0.1,0.338235294117647,0.3409090909090909,SAS
Antonio McDyess,0.005,35.0,-0.4,2.1,2.6,0.133,1617.0,-2.5,0.6,12.2,0.492,15.1,0.7,0.1323529411764706,0.5681818181818181,SAS
Keith Bogans,0.658,29.0,0.1,1.1,1.9,0.168,1559.0,-1.0,0.7,7.7,0.542,11.0,0.8,0.14705882352941177,0.409090909090909,SAS
Roger Mason,0.532,29.0,-1.7,-0.5,1.7,0.069,1515.0,-1.2,0.3,9.7,0.49,17.2,0.1,0.08823529411764706,0.3636363636363636,SAS
DeJuan Blair,0.004,20.0,0.7,1.4,2.8,0.325,1494.0,-0.7,1.8,17.7,0.564,20.8,1.0,0.3088235294117647,0.6136363636363635,SAS
Matt Bonner,0.621,29.0,2.5,0.5,1.6,0.129,1161.0,2.1,2.1,14.9,0.581,17.0,1.3,0.35294117647058826,0.3409090909090909,SAS
Michael Finley,0.423,36.0,-3.7,-0.2,0.4,0.093,395.0,-3.4,-0.2,6.5,0.461,13.2,-0.2,0.014705882352941173,0.06818181818181819,SAS
Malik Hairston,0.145,22.0,-2.0,0.3,0.4,0.395,317.0,-2.3,0.3,11.6,0.555,14.5,0.0,0.08823529411764706,0.06818181818181819,SAS
Garrett Temple,0.359,23.0,-1.8,-0.7,0.2,0.328,193.0,-1.1,0.1,11.1,0.546,20.0,0.0,0.05882352941176471,0.022727272727272728,SAS
Theo Ratliff,0.0,36.0,-1.4,4.7,0.3,0.111,183.0,-6.1,-0.3,7.8,0.45,13.4,0.0,0.0,0.04545454545454545,SAS
Ian Mahinmi,0.0,23.0,-3.9,-1.6,0.3,0.855,165.0,-2.3,0.4,21.6,0.667,25.2,-0.1,0.10294117647058823,0.04545454545454545,SAS
Marcus Haislip,0.238,29.0,-10.5,-6.3,0.1,0.238,44.0,-4.2,0.0,15.4,0.539,27.3,-0.1,0.04411764705882353,0.0,SAS
Cedric Jackson,0.286,23.0,5.4,7.1,0.1,0.571,25.0,-1.7,0.0,19.2,0.4,19.7,0.0,0.04411764705882353,0.0,SAS
