Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Russell Westbrook,0.193,29.0,8.2,3.1,4.5,0.336,2914.0,5.1,5.5,24.7,0.524,34.1,7.5,0.8333333333333333,1.0,OKC
Paul George,0.454,27.0,2.6,0.0,3.9,0.308,2891.0,2.5,5.0,18.7,0.57,25.7,3.3,0.7638888888888888,0.8666666666666667,OKC
Carmelo Anthony,0.406,33.0,-3.8,-1.9,2.5,0.165,2501.0,-1.9,1.2,12.7,0.503,23.2,-1.1,0.2361111111111111,0.5555555555555556,OKC
Steven Adams,0.003,24.0,3.3,1.1,3.0,0.403,2487.0,2.2,6.7,20.6,0.63,16.7,3.3,1.0,0.6666666666666666,OKC
Jerami Grant,0.241,23.0,-0.6,0.2,1.9,0.526,1647.0,-0.8,3.5,16.2,0.607,16.0,0.6,0.5555555555555556,0.4222222222222222,OKC
Raymond Felton,0.417,33.0,-2.8,-1.7,1.3,0.08,1365.0,-1.1,0.9,13.0,0.494,20.4,-0.3,0.19444444444444442,0.2888888888888889,OKC
Patrick Patterson,0.643,28.0,-1.3,0.3,1.4,0.173,1270.0,-1.6,1.2,10.0,0.555,10.8,0.2,0.2361111111111111,0.3111111111111111,OKC
Alex Abrines,0.759,24.0,-2.2,-1.7,1.0,0.158,1134.0,-0.5,1.3,9.0,0.567,12.7,-0.1,0.25,0.2222222222222222,OKC
Andre Roberson,0.222,26.0,1.5,2.8,1.3,0.235,1037.0,-1.3,0.8,10.9,0.543,8.6,0.9,0.18055555555555555,0.2888888888888889,OKC
Josh Huestis,0.632,26.0,-3.9,0.7,1.0,0.11,982.0,-4.6,-0.5,5.4,0.417,9.5,-0.5,0.0,0.2222222222222222,OKC
Terrance Ferguson,0.71,19.0,-2.5,-1.3,0.5,0.059,763.0,-1.2,0.7,7.4,0.545,10.4,-0.1,0.16666666666666666,0.1111111111111111,OKC
Corey Brewer,0.465,31.0,2.1,1.1,0.7,0.271,514.0,1.0,0.9,14.2,0.565,14.4,0.5,0.19444444444444442,0.15555555555555556,OKC
Dakari Johnson,0.0,22.0,0.3,1.2,0.2,0.513,161.0,-0.9,0.4,16.4,0.575,13.5,0.1,0.125,0.044444444444444446,OKC
Nick Collison,0.0,37.0,-6.5,-2.9,0.0,0.684,75.0,-3.5,0.1,13.2,0.627,18.2,-0.1,0.08333333333333333,0.0,OKC
Kyle Singler,0.238,29.0,-11.8,-4.2,0.0,0.619,59.0,-7.7,-0.1,5.9,0.43,21.6,-0.1,0.05555555555555556,0.0,OKC
Daniel Hamilton,0.455,22.0,-1.6,-2.4,0.0,0.0,28.0,0.8,0.1,18.2,0.545,19.9,0.0,0.08333333333333333,0.0,OKC
PJ Dozier,0.0,21.0,-34.0,-10.5,0.0,0.0,3.0,-23.5,0.0,-5.0,0.5,42.9,0.0,0.06944444444444445,0.0,OKC
