Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
DeMar DeRozan,0.149,24.0,0.7,-0.7,3.0,0.448,3017.0,1.4,5.8,18.4,0.532,28.0,2.0,0.7173913043478259,0.9090909090909092,TOR
Kyle Lowry,0.463,27.0,5.9,0.1,3.3,0.356,2862.0,5.8,8.4,20.1,0.567,22.9,5.7,1.0,1.0,TOR
Jonas Valanciunas,0.001,21.0,-1.4,0.2,3.2,0.385,2282.0,-1.6,3.5,16.1,0.579,18.5,0.3,0.467391304347826,0.9696969696969698,TOR
Amir Johnson,0.108,26.0,2.6,2.4,3.1,0.234,2214.0,0.2,3.2,15.4,0.592,16.4,2.6,0.4347826086956521,0.9393939393939394,TOR
Terrence Ross,0.543,22.0,-0.1,-0.7,2.2,0.13,2159.0,0.6,2.0,12.0,0.553,18.6,1.0,0.3043478260869565,0.6666666666666667,TOR
Greivis Vasquez,0.47,27.0,-0.8,-2.2,1.1,0.15,1314.0,1.3,1.6,14.2,0.537,22.2,0.4,0.2608695652173913,0.33333333333333337,TOR
John Salmons,0.409,34.0,-2.0,0.1,1.2,0.152,1281.0,-2.2,0.2,7.6,0.472,12.6,0.0,0.10869565217391303,0.36363636363636365,TOR
Patrick Patterson,0.305,24.0,2.8,1.7,1.6,0.15,1118.0,1.2,1.8,16.2,0.559,17.9,1.4,0.2826086956521739,0.4848484848484849,TOR
Tyler Hansbrough,0.01,28.0,-1.8,-0.2,1.4,0.944,978.0,-1.7,1.7,14.2,0.562,15.1,0.0,0.2717391304347826,0.42424242424242425,TOR
Rudy Gay,0.176,27.0,-2.1,1.1,1.1,0.263,639.0,-3.2,-0.8,14.7,0.468,30.8,0.0,0.0,0.33333333333333337,TOR
Chuck Hayes,0.01,30.0,-0.7,2.7,0.9,0.184,575.0,-3.4,0.1,9.6,0.467,10.4,0.2,0.09782608695652173,0.27272727272727276,TOR
Steve Novak,0.836,30.0,-0.5,-1.7,0.5,0.041,540.0,1.1,1.0,11.1,0.599,12.9,0.2,0.19565217391304346,0.15151515151515152,TOR
Landry Fields,0.075,25.0,-2.9,0.9,0.4,0.328,322.0,-3.9,0.0,8.6,0.443,12.4,-0.1,0.08695652173913043,0.12121212121212123,TOR
Nando De Colo,0.367,26.0,-0.9,-0.2,0.2,0.217,193.0,-0.7,0.2,12.9,0.495,18.8,0.1,0.10869565217391303,0.060606060606060615,TOR
Dwight Buycks,0.354,24.0,-4.5,0.2,0.2,0.188,146.0,-4.8,-0.2,7.2,0.414,19.3,-0.1,0.06521739130434782,0.060606060606060615,TOR
Julyan Stone,0.471,25.0,-3.0,0.5,0.1,0.176,120.0,-3.5,0.0,6.6,0.491,8.8,0.0,0.08695652173913043,0.030303030303030307,TOR
D.J. Augustin,0.458,26.0,-11.2,-3.7,0.0,0.25,82.0,-7.4,-0.2,1.2,0.394,19.8,-0.2,0.06521739130434782,0.0,TOR
Quincy Acy,0.357,23.0,4.1,3.7,0.1,0.571,61.0,0.5,0.1,17.2,0.542,14.5,0.1,0.09782608695652173,0.030303030303030307,TOR
Austin Daye,0.615,25.0,-8.6,-3.6,0.0,0.231,33.0,-5.0,-0.1,2.4,0.279,19.7,-0.1,0.07608695652173914,0.0,TOR
Aaron Gray,0.0,29.0,-4.0,0.7,0.0,0.667,20.0,-4.7,0.0,5.7,0.644,17.9,0.0,0.08695652173913043,0.0,TOR
