win,lose,probability
New Orleans Pelicans,Los Angeles Lakers,0.6418050220494675
New York Knicks,Orlando Magic,0.7627024099789396
Phoenix Suns,Brooklyn Nets,0.6390476415768447
Washington Wizards,Detroit Pistons,0.7997691400988681
Dallas Mavericks,Philadelphia 76ers,0.9169479801850868
Golden State Warriors,Brooklyn Nets,0.6845897545240273
Memphis Grizzlies,Sacramento Kings,0.8091337875985477
Chicago Bulls,Toronto Raptors,0.5200480502820973
Miami Heat,Atlanta Hawks,0.645351673343465
Cleveland Cavaliers,Boston Celtics,0.6314397642354699
Houston Rockets,Philadelphia 76ers,0.9377727060409777
Indiana Pacers,Denver Nuggets,0.7560714271707095
San Antonio Spurs,Los Angeles Lakers,0.8917514729583794
Minnesota Timberwolves,New Orleans Pelicans,0.5639198578782592
New York Knicks,Utah Jazz,0.7518173268168242
Oklahoma City Thunder,Detroit Pistons,0.8935165977692908
Orlando Magic,Milwaukee Bucks,0.6862492463276911
Phoenix Suns,Charlotte Hornets,0.6298711456670901
Indiana Pacers,Chicago Bulls,0.532481565512732
Atlanta Hawks,Cleveland Cavaliers,0.5043598710484958
Dallas Mavericks,Minnesota Timberwolves,0.6701179660378305
Golden State Warriors,Charlotte Hornets,0.6759840286256162
Los Angeles Clippers,Phoenix Suns,0.7103284909563601
Memphis Grizzlies,Detroit Pistons,0.842866721077069
Portland Trail Blazers,Brooklyn Nets,0.7122923991858509
San Antonio Spurs,Sacramento Kings,0.8656176948932227
Toronto Raptors,Utah Jazz,0.8460328118375239
Washington Wizards,Orlando Magic,0.8254783695744091
Golden State Warriors,Los Angeles Lakers,0.8331234479858162
Miami Heat,Milwaukee Bucks,0.9221851343148467
New York Knicks,Denver Nuggets,0.5942116962415659
Oklahoma City Thunder,Houston Rockets,0.601027897641442
Phoenix Suns,Boston Celtics,0.7944622474714735
Miami Heat,Brooklyn Nets,0.6114138909534377
Dallas Mavericks,Charlotte Hornets,0.5599739347701456
Denver Nuggets,Cleveland Cavaliers,0.511601716537448
Detroit Pistons,Orlando Magic,0.6057082906227811
Los Angeles Clippers,Chicago Bulls,0.6282946930386233
Houston Rockets,Memphis Grizzlies,0.5094267426705605
Portland Trail Blazers,New Orleans Pelicans,0.8070514662099484
San Antonio Spurs,Philadelphia 76ers,0.9616015174949321
Atlanta Hawks,Los Angeles Lakers,0.7267961446640879
New York Knicks,Milwaukee Bucks,0.825669516073023
New Orleans Pelicans,Sacramento Kings,0.5299209866745267
Oklahoma City Thunder,Utah Jazz,0.8891013751478705
Brooklyn Nets,Milwaukee Bucks,0.8792979392724299
San Antonio Spurs,Cleveland Cavaliers,0.8433986738116239
Oklahoma City Thunder,Denver Nuggets,0.7597338217642218
Phoenix Suns,Detroit Pistons,0.7392162430252267
Houston Rockets,Los Angeles Lakers,0.8653135149569273
Indiana Pacers,Charlotte Hornets,0.6621471689276043
Minnesota Timberwolves,New York Knicks,0.5563591440350057
Los Angeles Clippers,Orlando Magic,0.8895064556686629
Boston Celtics,Philadelphia 76ers,0.5942880634369039
Toronto Raptors,Memphis Grizzlies,0.5103638031243416
Dallas Mavericks,Washington Wizards,0.5489130218555868
Los Angeles Clippers,Miami Heat,0.5977113690457815
Chicago Bulls,Sacramento Kings,0.7828857127062261
Atlanta Hawks,Detroit Pistons,0.7385903065881497
Charlotte Hornets,Orlando Magic,0.8189334112116022
Dallas Mavericks,Los Angeles Lakers,0.8247709648576369
Denver Nuggets,New Orleans Pelicans,0.5753539725821797
Golden State Warriors,Utah Jazz,0.8722146744752933
Memphis Grizzlies,Boston Celtics,0.8528866077999002
San Antonio Spurs,Minnesota Timberwolves,0.7243069306714873
Oklahoma City Thunder,Brooklyn Nets,0.7486217691385499
Phoenix Suns,Philadelphia 76ers,0.8534066069161677
Portland Trail Blazers,Chicago Bulls,0.5666578867790236
Toronto Raptors,Milwaukee Bucks,0.9165000186686325
Washington Wizards,Cleveland Cavaliers,0.7101978786039327
Toronto Raptors,Cleveland Cavaliers,0.7054572785440203
Houston Rockets,Dallas Mavericks,0.5840051477602426
Indiana Pacers,Phoenix Suns,0.6097360487890762
Washington Wizards,Milwaukee Bucks,0.8338774834532442
Minnesota Timberwolves,Sacramento Kings,0.7413808496713541
New York Knicks,Philadelphia 76ers,0.8570297061052095
Miami Heat,Orlando Magic,0.8397562972293358
San Antonio Spurs,Brooklyn Nets,0.8009649973441654
New Orleans Pelicans,Utah Jazz,0.6517282248902356
Portland Trail Blazers,Boston Celtics,0.8527060820758141
Denver Nuggets,Los Angeles Lakers,0.6157236758560669
Los Angeles Clippers,Memphis Grizzlies,0.5955368111005253
Miami Heat,Charlotte Hornets,0.6445594906920852
Oklahoma City Thunder,Golden State Warriors,0.5923281104734043
Los Angeles Clippers,Charlotte Hornets,0.6740458271297654
Cleveland Cavaliers,Orlando Magic,0.6769376169794362
Dallas Mavericks,Indiana Pacers,0.5083238678770194
Houston Rockets,New York Knicks,0.7023025604066503
Portland Trail Blazers,Philadelphia 76ers,0.8971104162009904
Toronto Raptors,Phoenix Suns,0.5724457517086524
Chicago Bulls,Utah Jazz,0.8568512734288656
Chicago Bulls,Denver Nuggets,0.7024529812798943
Golden State Warriors,Miami Heat,0.5207128686585216
Detroit Pistons,Milwaukee Bucks,0.6208504606255711
New Orleans Pelicans,Sacramento Kings,0.6006348099838948
Washington Wizards,Atlanta Hawks,0.6892768671675243
Toronto Raptors,Atlanta Hawks,0.5999937544907405
Portland Trail Blazers,Charlotte Hornets,0.5904963560050471
Washington Wizards,Cleveland Cavaliers,0.6340265267167591
Dallas Mavericks,New York Knicks,0.6334755885824507
Los Angeles Clippers,Detroit Pistons,0.8589227936003887
Houston Rockets,Sacramento Kings,0.8435715370486352
Memphis Grizzlies,Los Angeles Lakers,0.8032717276105741
Minnesota Timberwolves,Milwaukee Bucks,0.8899485418743868
Oklahoma City Thunder,Utah Jazz,0.9035244393145457
Golden State Warriors,Orlando Magic,0.8547894503962948
Brooklyn Nets,Philadelphia 76ers,0.816876903190134
Phoenix Suns,Denver Nuggets,0.7290972097041657
San Antonio Spurs,Indiana Pacers,0.7010488026947244
Atlanta Hawks,New Orleans Pelicans,0.6288237574048967
Chicago Bulls,Boston Celtics,0.8486571847712495
Golden State Warriors,Charlotte Hornets,0.6019273096955875
Phoenix Suns,Denver Nuggets,0.6193839415714915
Detroit Pistons,Milwaukee Bucks,0.7430687315849872
Los Angeles Clippers,Houston Rockets,0.5364970015331609
Indiana Pacers,Orlando Magic,0.8718492564370278
Minnesota Timberwolves,Los Angeles Lakers,0.6802388488580469
Oklahoma City Thunder,New York Knicks,0.7436627316533072
Portland Trail Blazers,Memphis Grizzlies,0.5962645481306555
San Antonio Spurs,Sacramento Kings,0.8996113985027927
Toronto Raptors,Dallas Mavericks,0.5032122158568665
