,0.5/mis_W,0.5/mis_L,0.6/mis_W,0.6/mis_L,0.7/mis_W,0.7/mis_L,0.8/mis_W,0.8/mis_L,0.9/mis_W,0.9/mis_L,pred_W,pred_L,true_W,true_L,W_L_delta,abs_W_L_delta
Atlanta Hawks,2,6,2,15,2,11,1,1,0,0,34,48,60,22,26,26
Boston Celtics,0,4,2,6,0,10,0,11,0,0,11,71,40,42,29,29
Brooklyn Nets,4,6,7,7,5,3,4,0,0,0,42,40,38,44,-4,4
Charlotte Hornets,7,9,5,2,6,0,5,0,0,0,45,37,33,49,-12,12
Chicago Bulls,5,6,2,3,6,0,8,0,0,0,62,20,50,32,-12,12
Cleveland Cavaliers,1,3,4,11,2,17,0,4,0,0,25,57,53,29,28,28
Dallas Mavericks,4,8,3,4,3,0,2,0,0,0,50,32,50,32,0,0
Denver Nuggets,4,4,4,7,4,5,1,0,0,0,27,55,30,52,3,3
Detroit Pistons,5,3,5,4,2,9,0,8,0,1,19,63,32,50,13,13
Golden State Warriors,4,9,2,2,3,0,2,0,0,0,67,15,67,15,0,0
Houston Rockets,8,4,3,3,2,0,5,0,0,0,67,15,56,26,-11,11
Indiana Pacers,10,4,6,0,7,0,8,0,1,0,66,16,38,44,-28,28
Los Angeles Clippers,4,3,10,0,3,0,5,0,1,0,76,6,56,26,-20,20
Los Angeles Lakers,4,2,1,2,0,5,0,4,0,1,12,70,21,61,9,9
Memphis Grizzlies,4,16,3,3,6,1,4,0,0,0,52,30,55,27,3,3
Miami Heat,10,1,4,1,8,0,5,0,3,0,65,17,37,45,-28,28
Milwaukee Bucks,0,3,0,7,0,4,0,17,0,8,2,80,41,41,39,39
Minnesota Timberwolves,6,5,8,2,8,1,6,0,0,0,36,46,16,66,-20,20
New Orleans Pelicans,2,4,5,8,1,9,0,7,0,0,25,57,45,37,20,20
New York Knicks,3,1,7,1,9,2,5,0,0,0,37,45,17,65,-20,20
Oklahoma City Thunder,14,0,7,1,5,0,7,0,1,0,78,4,45,37,-33,33
Orlando Magic,2,3,2,4,0,3,0,9,0,0,10,72,25,57,15,15
Philadelphia 76ers,2,0,0,4,0,6,0,7,0,1,2,80,18,64,16,16
Phoenix Suns,4,7,5,3,4,0,4,0,1,0,47,35,39,43,-8,8
Portland Trail Blazers,12,6,4,3,3,0,4,0,1,0,66,16,51,31,-15,15
Sacramento Kings,6,2,4,7,1,10,0,4,0,0,17,65,29,53,12,12
San Antonio Spurs,5,0,9,0,4,0,5,0,4,0,82,0,55,27,-27,27
Toronto Raptors,3,6,4,3,7,0,3,0,1,0,58,24,49,33,-9,9
Utah Jazz,1,7,0,4,0,7,0,14,0,2,5,77,38,44,33,33
Washington Wizards,5,9,4,5,3,1,2,0,0,0,45,37,46,36,1,1
