win,lose,probability
Houston Rockets,Los Angeles Lakers,0.6427238670452291
New Orleans Pelicans,Orlando Magic,0.7913934084543178
San Antonio Spurs,Dallas Mavericks,0.801033345035184
Brooklyn Nets,Boston Celtics,0.6641664787814059
Charlotte Hornets,Milwaukee Bucks,0.900599714276977
Denver Nuggets,Detroit Pistons,0.8018733097231713
Indiana Pacers,Philadelphia 76ers,0.9160480125784713
Memphis Grizzlies,Minnesota Timberwolves,0.7896813132375002
Miami Heat,Washington Wizards,0.7009364872943904
New York Knicks,Chicago Bulls,0.6488430650480923
Phoenix Suns,Los Angeles Lakers,0.8497307711924265
Portland Trail Blazers,Oklahoma City Thunder,0.5591382226352536
Golden State Warriors,Sacramento Kings,0.6544906787363224
Toronto Raptors,Atlanta Hawks,0.7344659536438317
Houston Rockets,Utah Jazz,0.6945529013314589
Cleveland Cavaliers,New York Knicks,0.5107897276133997
Dallas Mavericks,Utah Jazz,0.9010473023834199
Los Angeles Clippers,Oklahoma City Thunder,0.6044304910419668
Minnesota Timberwolves,Detroit Pistons,0.814318588908346
Washington Wizards,Orlando Magic,0.6887047411468663
Chicago Bulls,Cleveland Cavaliers,0.7775423910314327
Indiana Pacers,Memphis Grizzlies,0.5534848864136073
Los Angeles Clippers,Los Angeles Lakers,0.6985752304675968
Milwaukee Bucks,Philadelphia 76ers,0.6352080788249892
San Antonio Spurs,Phoenix Suns,0.6181853670243331
Portland Trail Blazers,Sacramento Kings,0.7017725580246208
Indiana Pacers,Atlanta Hawks,0.5212114741976718
Memphis Grizzlies,Charlotte Hornets,0.511384341863844
Brooklyn Nets,Detroit Pistons,0.6271933033101358
Golden State Warriors,Los Angeles Lakers,0.8803086286166889
Houston Rockets,Boston Celtics,0.9062393973158811
Minnesota Timberwolves,Chicago Bulls,0.5542270597165598
Dallas Mavericks,New Orleans Pelicans,0.5742977556296747
Oklahoma City Thunder,Denver Nuggets,0.8463934567736403
Toronto Raptors,Orlando Magic,0.6726412365491079
Miami Heat,Philadelphia 76ers,0.8179042470227597
Phoenix Suns,Utah Jazz,0.6697672481668536
Washington Wizards,Milwaukee Bucks,0.9143638909383759
Los Angeles Clippers,Sacramento Kings,0.8795862773082677
Miami Heat,Toronto Raptors,0.7161973612105775
New York Knicks,Charlotte Hornets,0.6748844902294744
Portland Trail Blazers,Golden State Warriors,0.6303107629812473
Oklahoma City Thunder,Brooklyn Nets,0.538920325325497
Dallas Mavericks,Boston Celtics,0.9161892425052088
Denver Nuggets,Sacramento Kings,0.7466943017735661
Los Angeles Clippers,Utah Jazz,0.9104422976790578
Memphis Grizzlies,New Orleans Pelicans,0.8200136655681218
Houston Rockets,Philadelphia 76ers,0.7910340211896206
Chicago Bulls,Orlando Magic,0.8739741206768019
Indiana Pacers,Milwaukee Bucks,0.9215945791135235
Phoenix Suns,Los Angeles Lakers,0.6160573905962176
Miami Heat,Houston Rockets,0.6877053484703197
New Orleans Pelicans,Charlotte Hornets,0.5396794237412104
New York Knicks,Washington Wizards,0.6160994376964798
Portland Trail Blazers,Cleveland Cavaliers,0.8121724236667355
Oklahoma City Thunder,Toronto Raptors,0.5121185146099618
Toronto Raptors,Boston Celtics,0.702918776259954
Brooklyn Nets,Minnesota Timberwolves,0.6998423609879488
Miami Heat,Charlotte Hornets,0.5017477329427517
New York Knicks,Detroit Pistons,0.649076284797341
Golden State Warriors,Los Angeles Clippers,0.6204281968497068
Chicago Bulls,Milwaukee Bucks,0.7698667265874403
Philadelphia 76ers,Orlando Magic,0.5406122260262662
Phoenix Suns,Memphis Grizzlies,0.5676378050219246
Sacramento Kings,Denver Nuggets,0.5436630203970606
San Antonio Spurs,Atlanta Hawks,0.8984132949555631
Cleveland Cavaliers,Utah Jazz,0.5031690885139981
Washington Wizards,Indiana Pacers,0.6045514335657972
San Antonio Spurs,Houston Rockets,0.5878869265132709
Portland Trail Blazers,Dallas Mavericks,0.6263517431906672
Indiana Pacers,Boston Celtics,0.7112167727565026
Brooklyn Nets,New York Knicks,0.6183394758651687
Charlotte Hornets,Atlanta Hawks,0.6925841828651277
Denver Nuggets,Cleveland Cavaliers,0.6776567169154435
Detroit Pistons,Milwaukee Bucks,0.7692492939157357
Oklahoma City Thunder,Memphis Grizzlies,0.6910173024548426
Minnesota Timberwolves,Orlando Magic,0.5674813231077698
Chicago Bulls,Philadelphia 76ers,0.7554490568466928
Phoenix Suns,Sacramento Kings,0.8359870202181751
Toronto Raptors,Washington Wizards,0.6062490253996078
Dallas Mavericks,Utah Jazz,0.7231753704336243
Atlanta Hawks,New York Knicks,0.5099237397687545
Chicago Bulls,Boston Celtics,0.8911664554213684
Houston Rockets,Golden State Warriors,0.6193076708621238
Indiana Pacers,Washington Wizards,0.6193302714236943
Los Angeles Clippers,Portland Trail Blazers,0.6231476086283534
Miami Heat,Minnesota Timberwolves,0.798065902197404
Memphis Grizzlies,Milwaukee Bucks,0.8348553897059314
San Antonio Spurs,New Orleans Pelicans,0.9096864230751015
Brooklyn Nets,Orlando Magic,0.8526687841659544
Dallas Mavericks,Miami Heat,0.6365666608983349
Detroit Pistons,Utah Jazz,0.6551157023682993
Charlotte Hornets,Los Angeles Lakers,0.5664844681099076
Oklahoma City Thunder,Sacramento Kings,0.896722527207351
Phoenix Suns,Golden State Warriors,0.5890390842069766
Portland Trail Blazers,Denver Nuggets,0.7937183195237337
Toronto Raptors,Philadelphia 76ers,0.9117095365998641
Chicago Bulls,Detroit Pistons,0.8706166201913349
Cleveland Cavaliers,New Orleans Pelicans,0.6458030315566454
Indiana Pacers,Utah Jazz,0.8700881120688396
San Antonio Spurs,Los Angeles Clippers,0.5304628448030007
New York Knicks,Atlanta Hawks,0.7424713319032954
Dallas Mavericks,Sacramento Kings,0.8674256969974705
San Antonio Spurs,Golden State Warriors,0.5545292832733082
Memphis Grizzlies,Los Angeles Lakers,0.8796206608207559
Oklahoma City Thunder,Milwaukee Bucks,0.8615885882697202
Portland Trail Blazers,Charlotte Hornets,0.7261263655475771
Toronto Raptors,Orlando Magic,0.8656696476597477
Atlanta Hawks,Utah Jazz,0.7852089951720509
Oklahoma City Thunder,Boston Celtics,0.8045859074188022
Portland Trail Blazers,Denver Nuggets,0.5997754317232418
Miami Heat,Indiana Pacers,0.7079837179468241
Minnesota Timberwolves,Houston Rockets,0.5036209178850805
New Orleans Pelicans,Los Angeles Lakers,0.7483895773351988
New York Knicks,Orlando Magic,0.8704173518107583
Phoenix Suns,Brooklyn Nets,0.6894178549509227
Washington Wizards,Detroit Pistons,0.8571849426422365
Dallas Mavericks,Philadelphia 76ers,0.9368494769560459
Golden State Warriors,Brooklyn Nets,0.7427410213700306
Memphis Grizzlies,Sacramento Kings,0.8681865942628817
Toronto Raptors,Chicago Bulls,0.6393409910861418
Miami Heat,Atlanta Hawks,0.5871359759869592
Cleveland Cavaliers,Boston Celtics,0.5470315325679314
Houston Rockets,Philadelphia 76ers,0.9291627340745374
Indiana Pacers,Denver Nuggets,0.7533336343815332
San Antonio Spurs,Los Angeles Lakers,0.8250403054500035
New Orleans Pelicans,Minnesota Timberwolves,0.6044888902494504
New York Knicks,Utah Jazz,0.8685337540843702
Oklahoma City Thunder,Detroit Pistons,0.9226073798305333
Orlando Magic,Milwaukee Bucks,0.7655648632950509
Phoenix Suns,Charlotte Hornets,0.6902955640300572
Chicago Bulls,Indiana Pacers,0.6315296384006185
Cleveland Cavaliers,Atlanta Hawks,0.6155131613006902
Dallas Mavericks,Minnesota Timberwolves,0.7885775994802013
Golden State Warriors,Charlotte Hornets,0.7435240986315029
Los Angeles Clippers,Phoenix Suns,0.7223256569542862
Memphis Grizzlies,Detroit Pistons,0.9004293685611013
Portland Trail Blazers,Brooklyn Nets,0.7253097936963702
San Antonio Spurs,Sacramento Kings,0.8146760640144868
Toronto Raptors,Utah Jazz,0.8637278423759734
Washington Wizards,Orlando Magic,0.8608352806130372
Golden State Warriors,Los Angeles Lakers,0.6701865828845212
Miami Heat,Milwaukee Bucks,0.9442370253937534
New York Knicks,Denver Nuggets,0.7507824637420137
Oklahoma City Thunder,Houston Rockets,0.7338953811606863
Phoenix Suns,Boston Celtics,0.7074724741787294
Brooklyn Nets,Miami Heat,0.5226514284289612
Charlotte Hornets,Dallas Mavericks,0.5063187402668338
Cleveland Cavaliers,Denver Nuggets,0.625856886716038
Detroit Pistons,Orlando Magic,0.6588560356898389
Los Angeles Clippers,Chicago Bulls,0.7398037349015857
Memphis Grizzlies,Houston Rockets,0.6765953546973883
Portland Trail Blazers,New Orleans Pelicans,0.8074684672973602
San Antonio Spurs,Philadelphia 76ers,0.9706024694764541
Atlanta Hawks,Los Angeles Lakers,0.7445167880452733
New York Knicks,Milwaukee Bucks,0.7667490080710739
Sacramento Kings,New Orleans Pelicans,0.5649450480468022
Oklahoma City Thunder,Utah Jazz,0.7754246409245407
Brooklyn Nets,Milwaukee Bucks,0.90900653873024
San Antonio Spurs,Cleveland Cavaliers,0.7579182402976204
Oklahoma City Thunder,Denver Nuggets,0.6185738151937982
Phoenix Suns,Detroit Pistons,0.6729190677323356
Houston Rockets,Los Angeles Lakers,0.8651928594173773
Indiana Pacers,Charlotte Hornets,0.6778792610115769
Minnesota Timberwolves,New York Knicks,0.558549943571591
Los Angeles Clippers,Orlando Magic,0.7520796973417898
Philadelphia 76ers,Boston Celtics,0.5815052638890589
Toronto Raptors,Memphis Grizzlies,0.5398221839987866
Washington Wizards,Dallas Mavericks,0.5472317538275907
Miami Heat,Los Angeles Clippers,0.6309040485033908
Chicago Bulls,Sacramento Kings,0.577796441989017
Atlanta Hawks,Detroit Pistons,0.7829158817724494
Charlotte Hornets,Orlando Magic,0.8399732719284908
Dallas Mavericks,Los Angeles Lakers,0.878916561765903
Denver Nuggets,New Orleans Pelicans,0.6709488200427145
Golden State Warriors,Utah Jazz,0.9022132451310232
Memphis Grizzlies,Boston Celtics,0.9166971437055688
San Antonio Spurs,Minnesota Timberwolves,0.7209515395587491
Oklahoma City Thunder,Brooklyn Nets,0.7908503633638353
Phoenix Suns,Philadelphia 76ers,0.7715017406627838
Portland Trail Blazers,Chicago Bulls,0.7023793332655599
Toronto Raptors,Milwaukee Bucks,0.9175169295945861
Washington Wizards,Cleveland Cavaliers,0.757143676675873
Toronto Raptors,Cleveland Cavaliers,0.5103400847263079
Houston Rockets,Dallas Mavericks,0.6153027351693292
Indiana Pacers,Phoenix Suns,0.6315140831132477
Washington Wizards,Milwaukee Bucks,0.7938829242477682
Minnesota Timberwolves,Sacramento Kings,0.7615750572901544
New York Knicks,Philadelphia 76ers,0.9149898249022766
Miami Heat,Orlando Magic,0.7364235296258778
San Antonio Spurs,Brooklyn Nets,0.8637889579462915
New Orleans Pelicans,Utah Jazz,0.5108035015354397
Portland Trail Blazers,Boston Celtics,0.7918704685023219
Los Angeles Lakers,Denver Nuggets,0.5262026579740671
Memphis Grizzlies,Los Angeles Clippers,0.6188931576556529
Miami Heat,Charlotte Hornets,0.7519608230228739
Oklahoma City Thunder,Golden State Warriors,0.7094375838377321
Los Angeles Clippers,Charlotte Hornets,0.5223012087692147
Cleveland Cavaliers,Orlando Magic,0.788573380552467
Dallas Mavericks,Indiana Pacers,0.6958756967159495
Houston Rockets,New York Knicks,0.6961918271689977
Portland Trail Blazers,Philadelphia 76ers,0.8415634981409617
Toronto Raptors,Phoenix Suns,0.6185936792147951
Chicago Bulls,Utah Jazz,0.6498115403859317
Denver Nuggets,Chicago Bulls,0.5343182998629382
Miami Heat,Golden State Warriors,0.6609634208851697
Milwaukee Bucks,Detroit Pistons,0.5132458375124814
New Orleans Pelicans,Sacramento Kings,0.72834030314369
Washington Wizards,Atlanta Hawks,0.7264020985888822
Toronto Raptors,Atlanta Hawks,0.5112060420856022
Portland Trail Blazers,Charlotte Hornets,0.5435607660468011
Washington Wizards,Cleveland Cavaliers,0.5287885328489568
Dallas Mavericks,New York Knicks,0.721583831973157
Los Angeles Clippers,Detroit Pistons,0.7482108512998339
Houston Rockets,Sacramento Kings,0.8526180016892142
Memphis Grizzlies,Los Angeles Lakers,0.689290323294316
Minnesota Timberwolves,Milwaukee Bucks,0.886385185780902
Oklahoma City Thunder,Utah Jazz,0.9235689502352498
Golden State Warriors,Orlando Magic,0.7267591753922094
Brooklyn Nets,Philadelphia 76ers,0.7341122374581426
Phoenix Suns,Denver Nuggets,0.7638546875846598
San Antonio Spurs,Indiana Pacers,0.8358597169002379
Atlanta Hawks,New Orleans Pelicans,0.6450099419734824
Chicago Bulls,Boston Celtics,0.6887363685311114
Charlotte Hornets,Golden State Warriors,0.5105557533530365
Denver Nuggets,Phoenix Suns,0.5121395501582663
Detroit Pistons,Milwaukee Bucks,0.7692492939157357
Houston Rockets,Los Angeles Clippers,0.5878579662480607
Indiana Pacers,Orlando Magic,0.8719527228378795
Minnesota Timberwolves,Los Angeles Lakers,0.5005924436697937
Oklahoma City Thunder,New York Knicks,0.7747399956564072
Portland Trail Blazers,Memphis Grizzlies,0.6096343988861973
San Antonio Spurs,Sacramento Kings,0.9357394645966998
Toronto Raptors,Dallas Mavericks,0.5573584750041315
Atlanta Hawks,Charlotte Hornets,0.5345919341187879
Indiana Pacers,Cleveland Cavaliers,0.5203466109117063
Houston Rockets,Milwaukee Bucks,0.8038983431314843
Dallas Mavericks,Philadelphia 76ers,0.8130490780481263
Los Angeles Clippers,Utah Jazz,0.7455101733572567
Washington Wizards,New Orleans Pelicans,0.7514832770299027
San Antonio Spurs,Boston Celtics,0.8766594662535891
Brooklyn Nets,Chicago Bulls,0.6141976706370303
Golden State Warriors,Detroit Pistons,0.7226409179876416
Toronto Raptors,Los Angeles Lakers,0.6108633811062496
New York Knicks,Miami Heat,0.5596233890408912
Phoenix Suns,Orlando Magic,0.8782321235814221
Portland Trail Blazers,Minnesota Timberwolves,0.7756004799641192
Memphis Grizzlies,Sacramento Kings,0.674061414026742
Los Angeles Clippers,Minnesota Timberwolves,0.806356068564126
San Antonio Spurs,Philadelphia 76ers,0.9084487796383097
Denver Nuggets,Utah Jazz,0.532299650040639
Washington Wizards,Miami Heat,0.5392254128262088
Atlanta Hawks,Boston Celtics,0.8144260505990061
Chicago Bulls,Dallas Mavericks,0.575373777986982
Cleveland Cavaliers,Milwaukee Bucks,0.8655559816945685
Portland Trail Blazers,Denver Nuggets,0.5997754317232418
Detroit Pistons,Los Angeles Lakers,0.6022615378637249
Golden State Warriors,Orlando Magic,0.9036678170714494
Oklahoma City Thunder,New Orleans Pelicans,0.6406853001466181
New York Knicks,Brooklyn Nets,0.6739837330321465
Phoenix Suns,Indiana Pacers,0.640610636915403
Toronto Raptors,Sacramento Kings,0.5940543442176875
Boston Celtics,Detroit Pistons,0.6145162303318021
San Antonio Spurs,Brooklyn Nets,0.668622080332828
Charlotte Hornets,Chicago Bulls,0.5908143663458219
Houston Rockets,Memphis Grizzlies,0.5984080013871759
