win,lose,probability
Boston Celtics,Indiana Pacers,0.6522981166899842
Charlotte Hornets,New York Knicks,0.7131049124651647
Los Angeles Clippers,Dallas Mavericks,0.6507494998494678
Denver Nuggets,Milwaukee Bucks,0.5657111869322919
Houston Rockets,Brooklyn Nets,0.8084531475044489
Golden State Warriors,Memphis Grizzlies,0.6809435448472232
Orlando Magic,Los Angeles Lakers,0.5471525262184997
Toronto Raptors,Philadelphia 76ers,0.8565042584678879
Portland Trail Blazers,San Antonio Spurs,0.5046704192618628
Detroit Pistons,Sacramento Kings,0.5137905785382613
Utah Jazz,Miami Heat,0.6809560583717267
Golden State Warriors,Minnesota Timberwolves,0.9608197003561243
Los Angeles Clippers,Phoenix Suns,0.8109475988463647
Atlanta Hawks,Boston Celtics,0.581102086564644
Chicago Bulls,Charlotte Hornets,0.8224978403979101
Dallas Mavericks,Los Angeles Lakers,0.8754247616314562
Houston Rockets,Denver Nuggets,0.8018429742905042
Indiana Pacers,Minnesota Timberwolves,0.8775556418201579
Memphis Grizzlies,Portland Trail Blazers,0.6993920355362143
Cleveland Cavaliers,New York Knicks,0.948965532949686
Oklahoma City Thunder,Philadelphia 76ers,0.8911943674579921
Utah Jazz,Orlando Magic,0.8184108858304942
Brooklyn Nets,Sacramento Kings,0.617457788682436
New Orleans Pelicans,Toronto Raptors,0.5420244534295455
Golden State Warriors,Brooklyn Nets,0.9152297645586385
Houston Rockets,Dallas Mavericks,0.7139352125020303
Los Angeles Clippers,Detroit Pistons,0.8458122159838442
Cleveland Cavaliers,Milwaukee Bucks,0.7820330313176223
Phoenix Suns,Denver Nuggets,0.629503065996983
San Antonio Spurs,Philadelphia 76ers,0.9526485176386471
Washington Wizards,Orlando Magic,0.8411119546246947
Atlanta Hawks,Utah Jazz,0.6215254148528232
Portland Trail Blazers,Charlotte Hornets,0.6588763944323901
Detroit Pistons,Los Angeles Lakers,0.613423673018987
Memphis Grizzlies,Minnesota Timberwolves,0.8744844403679548
New Orleans Pelicans,New York Knicks,0.8573100454147456
Oklahoma City Thunder,Boston Celtics,0.6721653560944865
Toronto Raptors,Sacramento Kings,0.7259381216571592
Chicago Bulls,Indiana Pacers,0.7405307903866708
Houston Rockets,Boston Celtics,0.7679096810346338
Memphis Grizzlies,Oklahoma City Thunder,0.6802782112286734
Dallas Mavericks,Philadelphia 76ers,0.8601614009384317
Phoenix Suns,Los Angeles Lakers,0.7532377309962688
San Antonio Spurs,Portland Trail Blazers,0.7995591485427033
Atlanta Hawks,Brooklyn Nets,0.5923688657205888
